kepid,kepoi_name,koi_disposition_pred,koi_disposition_pred_value
10811496,K00753.01,CONFIRMED,0.555940568447113
11818800,K00777.01,FALSE POSITIVE,0.15941078960895538
11918099,K00780.02,FALSE POSITIVE,0.39308637380599976
9579641,K00115.03,CONFIRMED,0.9946101903915405
3115833,K00797.01,FALSE POSITIVE,0.23217785358428955
3453214,K00802.01,CONFIRMED,0.8943060636520386
4544670,K00815.01,CONFIRMED,0.785923957824707
4936180,K00820.01,FALSE POSITIVE,0.00030266708927229047
5115978,K00823.01,FALSE POSITIVE,0.0009558939491398633
6867155,K00868.01,CONFIRMED,0.8860122561454773
6526710,K00856.01,FALSE POSITIVE,0.08431174606084824
6599919,K00858.01,FALSE POSITIVE,0.49879205226898193
6862328,K00865.01,CONFIRMED,0.9431811571121216
7031517,K00871.01,FALSE POSITIVE,0.08353365957736969
7380537,K00883.01,FALSE POSITIVE,0.16227176785469055
8013419,K00901.01,CONFIRMED,0.7905164957046509
8018547,K00902.01,CONFIRMED,0.9615383148193359
8552202,K00914.01,CONFIRMED,0.7752432227134705
9140402,K00928.01,CONFIRMED,0.9925161004066467
8951215,K00924.01,CONFIRMED,0.9883865714073181
9347899,K00935.04,CONFIRMED,0.9897030591964722
2860866,K01103.01,CONFIRMED,0.7938460111618042
10460629,K01168.01,FALSE POSITIVE,0.0718294233083725
10319385,K01169.01,CONFIRMED,0.9472114443778992
11502218,K00970.01,FALSE POSITIVE,1.0469227618159493e-06
11180361,K00971.01,FALSE POSITIVE,0.0001080777874449268
10287723,K01174.01,FALSE POSITIVE,0.0
11013201,K00972.01,FALSE POSITIVE,0.2542227804660797
11013201,K00972.02,FALSE POSITIVE,0.2237955629825592
9414417,K00974.01,CONFIRMED,0.8727820515632629
2307199,K00151.01,FALSE POSITIVE,0.2881162166595459
2853446,K01118.01,CONFIRMED,0.9382360577583313
3942446,K01193.01,FALSE POSITIVE,0.3715093433856964
3554031,K01194.02,CONFIRMED,0.9848227500915527
10743597,K00989.03,CONFIRMED,0.5956238508224487
3644071,K01192.01,FALSE POSITIVE,0.2485576719045639
1431122,K00994.01,FALSE POSITIVE,0.008874945342540741
8260218,K01066.01,FALSE POSITIVE,0.47027355432510376
6359320,K01127.03,CONFIRMED,0.9531992673873901
3447722,K01198.04,FALSE POSITIVE,0.005215742159634829
12105051,K00141.01,CONFIRMED,0.9719030261039734
8240904,K01070.03,FALSE POSITIVE,0.007381552364677191
3756801,K01206.01,FALSE POSITIVE,0.009674052707850933
8313667,K01145.01,CONFIRMED,0.9936422109603882
10149023,K01081.01,FALSE POSITIVE,0.01170687098056078
9772531,K00950.01,CONFIRMED,0.9755584001541138
10295951,K01154.01,FALSE POSITIVE,0.011961403302848339
3329204,K01095.01,CONFIRMED,0.8044216632843018
3230491,K01096.01,FALSE POSITIVE,0.001413938356563449
2162635,K01032.01,FALSE POSITIVE,0.2283620685338974
6837146,K01362.01,CONFIRMED,0.8303931355476379
6607286,K01239.01,CONFIRMED,0.9327309131622314
6607286,K01239.02,CONFIRMED,0.9786812663078308
11075279,K01431.01,CONFIRMED,0.9781991839408875
6607447,K01242.01,CONFIRMED,0.95894455909729
6441738,K01246.01,CONFIRMED,0.9553180932998657
8616873,K01251.01,FALSE POSITIVE,0.004568567965179682
8494263,K01255.01,CONFIRMED,0.8761341571807861
10928043,K01315.01,FALSE POSITIVE,0.015537533909082413
10794087,K01316.02,FALSE POSITIVE,0.01425629947334528
8813698,K01268.01,CONFIRMED,0.836637020111084
4074736,K01328.01,CONFIRMED,0.8685377240180969
4274548,K01331.01,FALSE POSITIVE,0.036202382296323776
11336883,K01445.02,FALSE POSITIVE,0.06693621724843979
11336883,K01445.03,FALSE POSITIVE,0.008730246685445309
8631160,K01271.01,CONFIRMED,0.9526201486587524
9202151,K01393.01,CONFIRMED,0.9213378429412842
4760746,K01455.01,FALSE POSITIVE,0.011881458573043346
9427402,K01397.01,CONFIRMED,0.9823691248893738
3962440,K01208.01,FALSE POSITIVE,0.06324771791696548
3534076,K01209.01,FALSE POSITIVE,0.0022404405754059553
4466677,K01338.02,CONFIRMED,0.9874100089073181
4466677,K01338.03,CONFIRMED,0.9351930618286133
9100484,K01399.01,FALSE POSITIVE,0.4520035982131958
6620003,K01225.01,FALSE POSITIVE,0.4456946551799774
7363829,K01356.01,FALSE POSITIVE,0.002179675502702594
6719086,K01357.01,CONFIRMED,0.9475170373916626
11026304,K01420.01,CONFIRMED,0.8802520036697388
11342550,K01421.01,FALSE POSITIVE,0.049535784870386124
6946199,K01359.02,CONFIRMED,0.8712270259857178
10867062,K01303.01,CONFIRMED,0.9358411431312561
8046659,K01560.01,FALSE POSITIVE,0.24248860776424408
7841925,K01499.02,CONFIRMED,0.9045324921607971
4276716,K01619.01,CONFIRMED,0.8490083813667297
7287683,K01622.01,CONFIRMED,0.8802408576011658
8266276,K01731.01,CONFIRMED,0.9660499691963196
8396405,K01733.01,CONFIRMED,0.9314214587211609
7199906,K01739.01,FALSE POSITIVE,0.001174967153929174
9017682,K01630.01,CONFIRMED,0.9717988967895508
10749128,K01639.02,FALSE POSITIVE,0.007610798347741365
11904734,K01764.01,CONFIRMED,0.8771786093711853
10153011,K01773.01,FALSE POSITIVE,0.17433589696884155
11870545,K01510.01,FALSE POSITIVE,0.26520517468452454
5031857,K01573.02,CONFIRMED,0.9783973693847656
10028792,K01574.03,CONFIRMED,0.9919524788856506
11153121,K01647.03,CONFIRMED,0.7078964710235596
6705142,K01758.01,CONFIRMED,0.7379307150840759
5299459,K01576.03,FALSE POSITIVE,0.12278959900140762
4471747,K01656.01,CONFIRMED,0.9969287514686584
4918309,K01582.01,CONFIRMED,0.9214261174201965
4830605,K01660.01,CONFIRMED,0.9756773114204407
12120943,K01458.01,CONFIRMED,0.960953414440155
7768451,K01527.01,CONFIRMED,0.9847477078437805
9932970,K01587.01,CONFIRMED,0.8603097796440125
4932442,K01665.02,FALSE POSITIVE,0.0017691801767796278
5360920,K01675.01,FALSE POSITIVE,0.027596283704042435
11702948,K01465.01,CONFIRMED,0.774875283241272
9512981,K01466.01,CONFIRMED,0.9672386050224304
5526717,K01677.02,FALSE POSITIVE,0.0021814724896103144
5531953,K01681.01,CONFIRMED,0.9974155426025391
9872292,K01537.01,CONFIRMED,0.9911644458770752
5542466,K01590.01,CONFIRMED,0.9991632699966431
4178389,K00185.01,FALSE POSITIVE,0.03238224610686302
5542466,K01590.03,CONFIRMED,0.9954042434692383
7499398,K01473.01,CONFIRMED,0.8536971211433411
5972334,K00191.03,CONFIRMED,0.9937044978141785
7811397,K01477.01,CONFIRMED,0.9692858457565308
